athlete;gender;timestamp;distance (m);elapsed time (s);elevation gain (m);average heart rate (bpm)
37124981;F;22/05/2019 16:19;6304.4;2340;56.2;179.0
37124981;F;15/05/2019 14:15;7879.9;3426;54.4;170.8
37124981;F;12/05/2019 08:24;5202.6;1962;12.4;175.8
37124981;F;08/05/2019 07:31;5957.6;2302;20.1;173.2
37124981;F;05/05/2019 08:11;5423.6;2357;17.4;145.9
37124981;F;01/05/2019 08:07;5250.9;2501;41.8;156.0
37124981;F;25/02/2019 00:33;3779.4;1806;0;161.3
37124981;F;15/02/2019 02:07;1860.3;813;0;164.4
37124981;F;10/02/2019 09:00;10101.3;3504;47.5;179.9
37124981;F;06/02/2019 15:58;10469.7;3828;38.0;177.4
37124981;F;03/02/2019 13:50;7734.8;3652;211.5;118.2
37124981;F;26/01/2019 09:25;10009.9;4648;212.3;160.6
37124981;F;23/01/2019 14:34;9754.4;3521;25.8;174.3
37124981;F;20/01/2019 09:50;9224.9;3576;32.6;169.1
37124981;F;16/01/2019 12:55;7989.6;2985;44.7;168.0
37124981;F;12/01/2019 09:37;9721.1;3566;80.8;173.3
37124981;F;10/01/2019 16:14;7673.6;2805;60.7;176.6
37124981;F;06/01/2019 10:15;9356.0;3588;37.4;164.2
37124981;F;04/01/2019 16:13;5566.6;2005;14.7;168.9
37124981;F;02/01/2019 16:49;6586.2;2393;20.2;167.3
